driver,hypothesis,coef_gbp_per_sd,t,spearman_r
Daily max temperature,H1/H4 demand & derate,36.02067900945626,7.081086264658675,0.21239922320585744
Evening wind share,H3 low wind,-30.97618132624151,-6.57013826688331,-0.3555242486632777
Midday solar (to be lost),H2 solar drop-off,-19.688565907519365,-3.9082041696125467,0.0126498979216108
Evening |NIV|,volume,16.86050535918408,3.7171091518361057,0.05225873787034687
