regime,settlement_period,imbalance_price,abs_niv,temp_c,wind_pct,solar_wm2,hour
hot,1,134.09319782007523,177.43869640291825,15.492391304347825,21.136263736263736,0.0,0.0
hot,2,124.78217396868887,159.17058142229894,15.492391304347825,21.37802197802198,0.0,0.5
hot,3,124.9468696021891,178.62995505122234,14.98391304347826,20.924175824175823,0.0,1.0
hot,4,127.2249184413672,141.71744485524638,14.98391304347826,20.665934065934064,0.0,1.5
hot,5,120.33429423637948,143.50682116224158,14.409565217391306,20.59120879120879,0.0,2.0
hot,6,116.64667640103869,129.98120020743795,14.409565217391306,20.415384615384614,0.0,2.5
hot,7,112.16937663838458,146.75739648306046,13.969782608695652,20.195604395604395,0.0,3.0
hot,8,109.80949744848091,153.07232166682215,13.969782608695652,19.85604395604396,0.0,3.5
hot,9,117.01705690126154,159.7807576712634,13.643478260869566,19.892391304347825,0.0,4.0
hot,10,112.88429392115485,145.78702789748826,13.643478260869566,19.652173913043477,0.0,4.5
hot,11,116.28541264375163,176.07487776896244,13.32217391304348,19.256521739130434,0.30869565217391304,5.0
hot,12,122.08198600438735,173.11222056065944,13.32217391304348,18.706521739130434,0.30869565217391304,5.5
hot,13,137.13393034423976,191.10958333533975,13.587826086956522,17.877173913043478,19.358695652173914,6.0
hot,14,151.00743581067812,217.52458303235352,13.587826086956522,16.933695652173913,19.358695652173914,6.5
hot,15,133.78871794586834,193.46253892388418,14.686521739130436,16.145652173913046,91.05652173913045,7.0
hot,16,159.5091180983317,188.69410435508686,14.686521739130436,15.359782608695651,91.05652173913045,7.5
hot,17,140.11842709385522,171.10550533518867,16.113260869565217,14.838043478260868,203.92826086956524,8.0
hot,18,156.7218485948659,185.45050503847443,16.113260869565217,14.28804347826087,203.92826086956524,8.5
hot,19,148.72247398105313,205.31132345505702,17.60608695652174,14.056521739130435,328.65434782608696,9.0
hot,20,137.19523580267057,197.54270202241406,17.60608695652174,13.840217391304348,328.65434782608696,9.5
hot,21,138.20564831648423,192.39926337840836,19.07673913043478,13.72717391304348,455.2565217391304,10.0
hot,22,132.05266309210316,206.42900147040714,19.07673913043478,13.65108695652174,455.2565217391304,10.5
hot,23,131.221053470524,196.74163459494088,20.32217391304348,13.61304347826087,554.9521739130435,11.0
hot,24,133.14905454619105,191.40834603999653,20.32217391304348,13.576086956521738,554.9521739130435,11.5
hot,25,131.39962737526358,222.6081359574078,21.34978260869565,13.700000000000001,625.5065217391304,12.0
hot,26,131.64637244448747,239.81810196002155,21.34978260869565,13.907608695652174,625.5065217391304,12.5
